iter	Passed	Remaining
0	8	8172
1	14	7117
2	20	6847
3	28	7136
4	36	7327
5	46	7728
6	53	7526
7	61	7637
8	68	7581
9	76	7612
10	82	7391
11	91	7565
12	98	7502
13	107	7564
14	113	7480
15	121	7488
16	128	7408
17	136	7437
18	144	7466
19	150	7376
20	157	7339
21	166	7409
22	172	7347
23	181	7364
24	188	7333
25	196	7370
26	201	7276
27	208	7248
28	215	7214
29	224	7269
30	231	7251
31	238	7229
32	245	7207
33	252	7160
34	259	7142
35	266	7146
36	274	7141
37	283	7185
38	291	7177
39	302	7249
40	310	7266
41	319	7283
42	324	7217
43	332	7233
44	338	7192
45	347	7206
46	353	7163
47	360	7141
48	366	7106
49	375	7135
50	381	7099
51	389	7099
52	397	7101
53	406	7115
54	413	7108
55	422	7115
56	429	7110
57	438	7118
58	445	7099
59	451	7076
60	459	7077
61	467	7080
62	475	7066
63	482	7056
64	488	7029
65	495	7008
66	500	6971
67	507	6956
68	513	6933
69	523	6956
70	529	6926
71	538	6938
72	544	6920
73	553	6927
74	559	6897
75	567	6895
76	573	6875
77	581	6875
78	590	6883
79	597	6875
80	604	6863
81	612	6855
82	618	6833
83	625	6815
84	633	6816
85	640	6802
86	649	6819
87	657	6814
88	666	6820
89	673	6810
90	680	6792
91	690	6813
92	695	6780
93	706	6807
94	717	6831
95	724	6822
96	732	6820
97	738	6798
98	747	6802
99	756	6805
100	764	6804
101	774	6822
102	784	6828
103	795	6853
104	807	6879
105	814	6869
106	823	6870
107	830	6857
108	839	6864
109	848	6868
110	857	6869
111	870	6903
112	880	6908
113	891	6925
114	899	6925
115	908	6924
116	916	6917
117	925	6918
118	932	6906
119	940	6898
120	949	6898
121	959	6904
122	971	6923
123	979	6917
124	990	6935
125	1000	6939
126	1006	6918
127	1017	6934
128	1025	6926
129	1035	6930
130	1042	6913
131	1049	6904
132	1057	6895
133	1067	6899
134	1073	6881
135	1080	6862
136	1088	6857
137	1094	6837
138	1100	6817
139	1109	6816
140	1128	6874
141	1139	6883
142	1150	6895
143	1156	6876
144	1163	6862
145	1170	6849
146	1180	6848
147	1187	6836
148	1197	6838
149	1204	6824
150	1212	6819
151	1221	6813
152	1229	6804
153	1235	6786
154	1242	6772
155	1249	6758
156	1257	6751
157	1266	6750
158	1276	6753
159	1288	6763
160	1294	6746
161	1303	6742
162	1311	6732
163	1319	6724
164	1326	6714
165	1334	6705
166	1342	6696
167	1349	6684
168	1360	6687
169	1367	6676
170	1375	6668
171	1384	6664
172	1391	6653
173	1398	6638
174	1405	6626
175	1414	6621
176	1424	6621
177	1436	6632
178	1446	6634
179	1454	6625
180	1462	6617
181	1477	6641
182	1485	6631
183	1495	6630
184	1502	6619
185	1511	6616
186	1518	6603
187	1527	6596
188	1533	6582
189	1542	6577
190	1549	6561
191	1559	6564
192	1568	6559
193	1575	6544
194	1584	6540
195	1590	6526
196	1600	6525
197	1606	6508
198	1614	6498
199	1620	6481
200	1628	6472
201	1635	6460
202	1642	6448
203	1652	6446
204	1660	6437
205	1670	6438
206	1678	6430
207	1686	6423
208	1694	6412
209	1704	6411
210	1714	6411
211	1721	6399
212	1730	6394
213	1737	6382
214	1745	6374
215	1752	6361
216	1762	6358
217	1769	6348
218	1778	6341
219	1785	6331
220	1793	6323
221	1803	6321
222	1811	6310
223	1820	6307
224	1826	6292
225	1835	6286
226	1842	6274
227	1851	6269
228	1860	6262
229	1868	6256
230	1875	6243
231	1884	6238
232	1892	6228
233	1899	6216
234	1906	6207
235	1915	6201
236	1926	6201
237	1932	6186
238	1941	6180
239	1948	6171
240	1956	6162
241	1962	6148
242	1970	6138
243	1976	6124
244	1984	6116
245	1990	6102
246	1998	6093
247	2005	6080
248	2013	6073
249	2020	6062
250	2029	6054
251	2037	6047
252	2044	6035
253	2052	6028
254	2060	6018
255	2068	6012
256	2075	6001
257	2084	5994
258	2091	5982
259	2103	5986
260	2110	5974
261	2119	5969
262	2128	5963
263	2138	5962
264	2147	5957
265	2153	5943
266	2162	5935
267	2168	5921
268	2175	5911
269	2181	5899
270	2191	5893
271	2197	5881
272	2206	5875
273	2213	5864
274	2229	5876
275	2237	5870
276	2246	5864
277	2255	5857
278	2264	5851
279	2271	5841
280	2279	5833
281	2287	5823
282	2299	5826
